month,full_name,name,author,description,language,stars_count,forks_count,created_at,updated_at,url,topics,license,open_issues,watchers,rank
2025-03,x1xhlol/system-prompts-and-models-of-ai-tools,system-prompts-and-models-of-ai-tools,x1xhlol,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models",,106558,28090,2025-03-05T16:38:29Z,2026-01-08T02:03:08Z,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,"['ai', 'bolt', 'cluely', 'copilot', 'cursor', 'cursorai', 'devin', 'github-copilot', 'lovable', 'open-source', 'perplexity', 'replit', 'system-prompts', 'trae', 'trae-ai', 'trae-ide', 'v0', 'vscode', 'windsurf', 'windsurf-ai']",GNU General Public License v3.0,108,106558,1
,deepseek-ai/DeepSeek-R1,DeepSeek-R1,deepseek-ai,,,91674,11777,2025-01-20T11:57:28Z,2026-01-09T11:24:11Z,https://github.com/deepseek-ai/DeepSeek-R1,[],MIT License,39,91674,2
,google-gemini/gemini-cli,gemini-cli,google-gemini,An open-source AI agent that brings the power of Gemini directly into your terminal.,TypeScript,90236,10439,2025-04-17T17:04:31Z,2026-01-09T11:43:49Z,https://github.com/google-gemini/gemini-cli,"['ai', 'ai-agents', 'cli', 'gemini', 'gemini-api', 'mcp-client', 'mcp-server']",Apache License 2.0,2560,90236,3
,github/spec-kit,spec-kit,github,💫 Toolkit to help you get started with Spec-Driven Development,python,61168,5315,2025-08-21T22:54:31Z,2026-01-09T11:53:32Z,https://github.com/github/spec-kit,"['ai', 'copilot', 'development', 'engineering', 'prd', 'spec', 'spec-driven']",MIT License,576,61168,4
,anomalyco/opencode,opencode,anomalyco,The open source coding agent.,TypeScript,56454,4812,2025-04-30T20:08:00Z,2026-01-09T12:04:03Z,https://github.com/anomalyco/opencode,[],MIT License,2256,56454,5
,openai/codex,codex,openai,Lightweight coding agent that runs in your terminal,rust,55535,7145,2025-04-13T05:37:54Z,2026-01-09T11:56:03Z,https://github.com/openai/codex,[],Apache License 2.0,980,55535,6
2025-02,anthropics/claude-code,claude-code,anthropics,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",Shell,52727,3795,2025-02-22T17:41:21Z,2026-01-08T02:06:27Z,https://github.com/anthropics/claude-code,[],,5255,52727,7
,FoundationAgents/OpenManus,OpenManus,FoundationAgents,"No fortress, purely open ground.  OpenManus is Coming.",python,52550,9240,2025-03-06T14:08:14Z,2026-01-09T11:55:20Z,https://github.com/FoundationAgents/OpenManus,[],MIT License,526,52550,8
,Zie619/n8n-workflows,n8n-workflows,Zie619,all of the workflows of n8n i could find (also from the site itself),python,49446,5928,2025-05-14T08:43:59Z,2026-01-09T11:44:07Z,https://github.com/Zie619/n8n-workflows,[],MIT License,13,49446,9
2025-06,OpenCut-app/OpenCut,OpenCut,OpenCut-app,The open-source CapCut alternative,TypeScript,44881,4447,2025-06-22T08:02:17Z,2026-01-08T01:36:40Z,https://github.com/OpenCut-app/OpenCut,"['editor', 'oss', 'videoeditor']",MIT License,247,44881,10
