rank,org,project,full_name,total_stars,monthly_stars_latest,activity_latest,openrank_latest
1,facebook,react,facebook/react,232890,2282,536.48,203.52
2,tensorflow,tensorflow,tensorflow/tensorflow,202349,1227,1112.22,355.63
3,microsoft,vscode,microsoft/vscode,165428,1474,4303.48,1954.14
4,facebook,react-native,facebook/react-native,126766,887,1140.13,432.47
5,golang,go,golang/go,122616,1058,1244.51,437.67
6,nodejs,node,nodejs/node,104196,797,1075.49,429.3
7,kubernetes,kubernetes,kubernetes/kubernetes,101062,878,2700.28,1016.81
8,microsoft,TypeScript,microsoft/TypeScript,96777,1156,1225.38,458.4
9,microsoft,PowerToys,microsoft/PowerToys,96662,1666,1531.29,784.08
10,microsoft,terminal,microsoft/terminal,96220,553,396.49,221.61
11,rust-lang,rust,rust-lang/rust,83278,1401,2329.43,948.9
12,pytorch,pytorch,pytorch/pytorch,71080,1466,3257.17,1328.6
13,python,cpython,python/cpython,58655,752,1364.92,595.01
14,apache,superset,apache/superset,55405,515,549.37,307.13
15,microsoft,playwright,microsoft/playwright,49558,993,980.05,528.94
16,apache,spark,apache/spark,38638,299,854.69,283.96
17,apache,airflow,apache/airflow,31562,362,1006.9,466.09
18,kubernetes,minikube,kubernetes/minikube,27615,185,392.8,153.8
19,apache,flink,apache/flink,22628,280,582.21,162.25
20,microsoft,vcpkg,microsoft/vcpkg,19875,295,1128.48,460.99
21,apache,shardingsphere,apache/shardingsphere,19581,156,464.93,241.28
22,microsoft,WSL,microsoft/WSL,17068,215,943.7,325.16
23,microsoft,fluentui,microsoft/fluentui,16217,326,616.95,300.89
24,apache,pulsar,apache/pulsar,13438,156,480.42,171.45
25,apache,arrow,apache/arrow,11955,211,851.72,260.04
26,apache,apisix,apache/apisix,11936,252,417.67,141.47
27,apache,dolphinscheduler,apache/dolphinscheduler,11110,267,344.39,132.81
28,apache,tvm,apache/tvm,9810,159,568.9,169.57
29,microsoft,onnxruntime,microsoft/onnxruntime,9147,292,919.0,315.24
30,apache,doris,apache/doris,8441,501,1232.36,276.98
31,microsoft,azuredatastudio,microsoft/azuredatastudio,7667,37,534.77,234.11
32,microsoft,winget-pkgs,microsoft/winget-pkgs,7307,137,1733.53,1054.29
33,apache,beam,apache/beam,7201,148,640.26,200.25
34,kubernetes,website,kubernetes/website,4693,55,1566.1,479.63
35,apache,hudi,apache/hudi,4381,134,610.43,249.36
36,docker,docs,docker/docs,4271,34,408.11,207.68
37,apache,iceberg,apache/iceberg,4244,172,706.12,208.44
38,kubernetes,test-infra,kubernetes/test-infra,3820,27,601.47,124.72
39,microsoft,vscode-jupyter,microsoft/vscode-jupyter,1033,30,364.19,164.84
40,google,it-cert-automation-practice,google/it-cert-automation-practice,800,22,2634.35,890.45
