rank,org,project,full_name,total_stars,monthly_stars_latest,activity_latest,openrank_latest,source,project_type
1,microsoft,vscode,microsoft/vscode,165428,1474,4303.48,1954.14,complete_ranking,开发工具
2,pytorch,pytorch,pytorch/pytorch,71080,1466,3257.17,1328.6,complete_ranking,人工智能
3,microsoft,winget-pkgs,microsoft/winget-pkgs,7307,137,1733.53,1054.29,complete_ranking,实用工具
4,kubernetes,kubernetes,kubernetes/kubernetes,101062,878,2700.28,1016.81,complete_ranking,容器编排
5,rust-lang,rust,rust-lang/rust,83278,1401,2329.43,948.9,complete_ranking,编程语言
6,google,it-cert-automation-practice,google/it-cert-automation-practice,800,22,2634.35,890.45,complete_ranking,DevOps/CI-CD
7,microsoft,PowerToys,microsoft/PowerToys,96662,1666,1531.29,784.08,complete_ranking,实用工具
8,python,cpython,python/cpython,58655,752,1364.92,595.01,complete_ranking,编程语言
9,microsoft,playwright,microsoft/playwright,49558,993,980.05,528.94,complete_ranking,其他
10,kubernetes,website,kubernetes/website,4693,55,1566.1,479.63,complete_ranking,文档/网站
11,apache,airflow,apache/airflow,31562,362,1006.9,466.09,complete_ranking,人工智能
12,microsoft,vcpkg,microsoft/vcpkg,19875,295,1128.48,460.99,complete_ranking,其他
13,microsoft,TypeScript,microsoft/TypeScript,96777,1156,1225.38,458.4,complete_ranking,编程语言
14,golang,go,golang/go,122616,1058,1244.51,437.67,complete_ranking,编程语言
15,facebook,react-native,facebook/react-native,126766,887,1140.13,432.47,complete_ranking,前端框架
16,nodejs,node,nodejs/node,104196,797,1075.49,429.3,complete_ranking,编程语言
17,tensorflow,tensorflow,tensorflow/tensorflow,202349,1227,1112.22,355.63,complete_ranking,人工智能
18,microsoft,WSL,microsoft/WSL,17068,215,943.7,325.16,complete_ranking,云平台/基础设施
19,microsoft,onnxruntime,microsoft/onnxruntime,9147,292,919.0,315.24,complete_ranking,人工智能
20,apache,superset,apache/superset,55405,515,549.37,307.13,complete_ranking,大数据/数据库
21,microsoft,fluentui,microsoft/fluentui,16217,326,616.95,300.89,complete_ranking,前端框架
