org,project_count,total_openrank,total_stars,total_activity,avg_openrank
microsoft,12,6802.6900000000005,7174,14677.31,566.8908333333334
apache,14,3271.08,3612,9310.37,233.64857142857142
kubernetes,4,1774.96,1145,5260.65,443.74
pytorch,1,1328.6,1466,3257.17,1328.6
rust-lang,1,948.9,1401,2329.43,948.9
google,1,890.45,22,2634.35,890.45
facebook,2,635.99,3169,1676.6100000000001,317.995
python,1,595.01,752,1364.92,595.01
golang,1,437.67,1058,1244.51,437.67
nodejs,1,429.3,797,1075.49,429.3
tensorflow,1,355.63,1227,1112.22,355.63
docker,1,207.68,34,408.11,207.68
alibaba,1,0.0,28326,455.08,0.0
ansible,1,0.0,54645,407.1,0.0
ant-design,1,0.0,108380,988.92,0.0
apple,1,0.0,74417,909.16,0.0
angular,2,0.0,132244,953.58,0.0
ClickHouse,1,0.0,30307,1220.46,0.0
AUTOMATIC1111,1,0.0,54472,2177.98,0.0
JuliaLang,1,0.0,43350,632.16,0.0
Lightning-AI,1,0.0,24170,498.86,0.0
PaddlePaddle,2,0.0,53964,2756.75,0.0
PowerShell,1,0.0,43546,455.94,0.0
RocketChat,1,0.0,40153,692.27,0.0
SerenityOS,1,0.0,26637,630.79,0.0
TeamNewPipe,1,0.0,26495,249.07,0.0
DefinitelyTyped,1,0.0,44029,1021.96,0.0
directus,1,0.0,22241,377.23,0.0
desktop,1,0.0,27366,383.11,0.0
denoland,1,0.0,94874,639.09,0.0
dbeaver,1,0.0,33556,535.87,0.0
cypress-io,1,0.0,46368,794.09,0.0
coolsnowwolf,1,0.0,30033,245.33,0.0
cockroachdb,1,0.0,27011,1148.48,0.0
ccxt,1,0.0,30491,432.65,0.0
bitcoin,1,0.0,73816,549.45,0.0
bevyengine,1,0.0,24641,791.05,0.0
appsmithorg,1,0.0,27053,1015.27,0.0
flutter,1,0.0,175781,3294.44,0.0
firstcontributions,1,0.0,37446,2643.15,0.0
files-community,1,0.0,30175,405.37,0.0
electron,1,0.0,119585,593.64,0.0
envoyproxy,1,0.0,22811,972.93,0.0
grafana,1,0.0,55075,2262.57,0.0
godotengine,1,0.0,64681,2570.24,0.0
home-assistant,1,0.0,63994,4327.19,0.0
grpc,1,0.0,40923,483.36,0.0
huggingface,1,0.0,94731,1457.42,0.0
istio,1,0.0,34857,755.86,0.0
laravel,1,0.0,30027,604.64,0.0
hashicorp,1,0.0,29840,616.69,0.0
lensapp,1,0.0,22303,271.45,0.0
logseq,1,0.0,22368,488.7,0.0
mastodon,1,0.0,43859,675.96,0.0
gatsbyjs,1,0.0,60548,208.18,0.0
go-gitea,1,0.0,38194,813.14,0.0
getsentry,1,0.0,30395,1259.03,0.0
elastic,1,0.0,62696,952.49,0.0
dotnet,1,0.0,33669,1064.61,0.0
nextcloud,1,0.0,25209,888.62,0.0
neovim,1,0.0,62439,682.46,0.0
mui,1,0.0,92083,779.75,0.0
mrdoob,1,0.0,83797,352.04,0.0
metabase,1,0.0,33760,747.81,0.0
openssl,1,0.0,22903,624.39,0.0
opencv,1,0.0,71947,363.08,0.0
obsproject,1,0.0,50559,470.63,0.0
php,1,0.0,35221,442.38,0.0
pandas-dev,1,0.0,37864,1015.95,0.0
prisma,1,0.0,32229,838.92,0.0
pingcap,1,0.0,37136,1001.34,0.0
rails,1,0.0,39443,658.19,0.0
rapid7,1,0.0,30699,305.26,0.0
odoo,1,0.0,30394,2259.18,0.0
open-mmlab,1,0.0,25544,387.96,0.0
redis,1,0.0,55978,381.56,0.0
ray-project,1,0.0,27146,1221.58,0.0
scikit-learn,1,0.0,56009,549.4,0.0
remix-run,1,0.0,23229,453.71,0.0
strapi,1,0.0,57130,625.7,0.0
symfony,1,0.0,23742,722.99,0.0
tachiyomiorg,1,0.0,24246,215.73,0.0
storybookjs,1,0.0,83946,848.15,0.0
taosdata,1,0.0,22886,396.59,0.0
type-challenges,1,0.0,32571,785.99,0.0
ultralytics,1,0.0,39605,397.81,0.0
vercel,1,0.0,115322,1682.91,0.0
vitejs,1,0.0,57241,667.5,0.0
yt-dlp,1,0.0,43526,732.87,0.0
yuzu-emu,1,0.0,26617,302.84,0.0
ziglang,1,0.0,22474,560.28,0.0
