full_name,activity_latest,openrank_latest,stars_latest
microsoft/vscode,4303.48,1954.14,1474
pytorch/pytorch,3257.17,1328.6,1466
kubernetes/kubernetes,2700.28,1016.81,878
google/it-cert-automation-practice,2634.35,890.45,22
rust-lang/rust,2329.43,948.9,1401
microsoft/winget-pkgs,1733.53,1054.29,137
kubernetes/website,1566.1,479.63,55
microsoft/PowerToys,1531.29,784.08,1666
python/cpython,1364.92,595.01,752
golang/go,1244.51,437.67,1058
apache/doris,1232.36,276.98,501
microsoft/TypeScript,1225.38,458.4,1156
facebook/react-native,1140.13,432.47,887
microsoft/vcpkg,1128.48,460.99,295
tensorflow/tensorflow,1112.22,355.63,1227
nodejs/node,1075.49,429.3,797
apache/airflow,1006.9,466.09,362
microsoft/playwright,980.05,528.94,993
microsoft/WSL,943.7,325.16,215
microsoft/onnxruntime,919.0,315.24,292
apache/spark,854.69,283.96,299
apache/arrow,851.72,260.04,211
apache/iceberg,706.12,208.44,172
apache/beam,640.26,200.25,148
microsoft/fluentui,616.95,300.89,326
apache/hudi,610.43,249.36,134
kubernetes/test-infra,601.47,124.72,27
apache/flink,582.21,162.25,280
apache/tvm,568.9,169.57,159
apache/superset,549.37,307.13,515
facebook/react,536.48,203.52,2282
microsoft/azuredatastudio,534.77,234.11,37
apache/pulsar,480.42,171.45,156
apache/shardingsphere,464.93,241.28,156
apache/apisix,417.67,141.47,252
docker/docs,408.11,207.68,34
microsoft/terminal,396.49,221.61,553
kubernetes/minikube,392.8,153.8,185
microsoft/vscode-jupyter,364.19,164.84,30
apache/dolphinscheduler,344.39,132.81,267
