full_name,openrank_latest,stars_latest,activity_latest
microsoft/vscode,1954.14,1474,4303.48
pytorch/pytorch,1328.6,1466,3257.17
microsoft/winget-pkgs,1054.29,137,1733.53
kubernetes/kubernetes,1016.81,878,2700.28
rust-lang/rust,948.9,1401,2329.43
google/it-cert-automation-practice,890.45,22,2634.35
microsoft/PowerToys,784.08,1666,1531.29
python/cpython,595.01,752,1364.92
microsoft/playwright,528.94,993,980.05
kubernetes/website,479.63,55,1566.1
apache/airflow,466.09,362,1006.9
microsoft/vcpkg,460.99,295,1128.48
microsoft/TypeScript,458.4,1156,1225.38
golang/go,437.67,1058,1244.51
facebook/react-native,432.47,887,1140.13
nodejs/node,429.3,797,1075.49
tensorflow/tensorflow,355.63,1227,1112.22
microsoft/WSL,325.16,215,943.7
microsoft/onnxruntime,315.24,292,919.0
apache/superset,307.13,515,549.37
microsoft/fluentui,300.89,326,616.95
apache/spark,283.96,299,854.69
apache/doris,276.98,501,1232.36
apache/arrow,260.04,211,851.72
apache/hudi,249.36,134,610.43
apache/shardingsphere,241.28,156,464.93
microsoft/azuredatastudio,234.11,37,534.77
microsoft/terminal,221.61,553,396.49
apache/iceberg,208.44,172,706.12
docker/docs,207.68,34,408.11
facebook/react,203.52,2282,536.48
apache/beam,200.25,148,640.26
apache/pulsar,171.45,156,480.42
apache/tvm,169.57,159,568.9
microsoft/vscode-jupyter,164.84,30,364.19
apache/flink,162.25,280,582.21
kubernetes/minikube,153.8,185,392.8
apache/apisix,141.47,252,417.67
apache/dolphinscheduler,132.81,267,344.39
kubernetes/test-infra,124.72,27,601.47
